symbol,rootSymbol,state,typ,listing,front,inverseLeg,sellLeg,buyLeg,positionCurrency,underlying,quoteCurrency,underlyingSymbol,reference,referenceSymbol,maxOrderQty,maxPrice,lotSize,tickSize,multiplier,settlCurrency,underlyingToPositionMultiplier,quoteToSettleMultiplier,isQuanto,isInverse,initMargin,maintMargin,riskLimit,riskStep,capped,taxed,deleverage,makerFee,takerFee,settlementFee,insuranceFee,fundingBaseSymbol,fundingQuoteSymbol,fundingPremiumSymbol,fundingTimestamp,fundingInterval,fundingRate,indicativeFundingRate,openingTimestamp,closingTimestamp,sessionInterval,prevClosePrice,prevTotalVolume,totalVolume,volume,volume24h,prevTotalTurnover,totalTurnover,turnover,turnover24h,homeNotional24h,foreignNotional24h,prevPrice24h,vwap,highPrice,lowPrice,lastPrice,lastPriceProtected,lastTickDirection,lastChangePcnt,bidPrice,midPrice,askPrice,impactBidPrice,impactMidPrice,impactAskPrice,hasLiquidity,openInterest,openValue,fairMethod,fairBasisRate,fairBasis,fairPrice,markMethod,markPrice,indicativeTaxRate,indicativeSettlePrice,timestamp
ETHXBT,ETH,Open,FFWCSX,2017-07-24T20:00:00.000Z,2016-04-01T12:00:00.000Z,,,,ETH,ETH,XBT,ETHXBT=,BMEX,.BETHXBT,100000000,10,1,0.00001,100000000,XBt,1,100000000,false,false,0.02,0.007,5000000000,5000000000,false,true,true,-0.00025,0.00075,0,0,.ETHBON8H,.XBTBON8H,.ETHXBTPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0,0,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.0355,5635568,5635568,0,101,18276658994000,18276658994000,0,362590000,101,3.6259,0.037,0.0359,0.037,0.03,0.036,0.03589,ZeroPlusTick,-0.027,0.03,0.0335,0.037,0.03,0.03363,0.03725926,false,15241,54196996000,FundingRate,0,0,0.03556,FairPrice,0.03556,0,0.03556,2020-09-11T10:04:05.000Z
XBTUSD,XBT,Open,FFWCSX,2016-05-04T12:00:00.000Z,2016-05-04T12:00:00.000Z,,,,USD,XBT,USD,XBT=,BMEX,.BXBT,10000000,1000000,1,0.5,-100000000,XBt,,,false,true,0.01,0.0035,20000000000,10000000000,false,true,true,-0.00025,0.00075,0,0,.XBTBON8H,.USDBON8H,.XBTUSDPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.004214,0.003255,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,10300.85,135226612698,135226624385,11687,10599742,1917764377182097,1917764490188362,113006265,102139071130,1021.3907113000005,10599742,10347.5,10378.8272,10480,10205,10369.5,10354.4,ZeroPlusTick,0.0021,10369.5,10369.75,10370,10311.4044,10352.25,10392.8497,false,64014703,620814589694,FundingRate,4.61433,10.49,10311.51,FairPrice,10311.51,0,10301.02,2020-09-11T10:04:45.000Z
XBTJPY,XBJ,Open,FFWCSX,2017-10-29T12:00:00.000Z,2017-10-29T12:00:00.000Z,,,,JPY,XBT,JPY,XBTJPY=,BMEX,.XBTJPY,10000000,100000000,1,100,-10000000000,XBt,,,false,true,0.01,0.005,20000000000,10000000000,false,true,true,-0.00025,0.00075,0,0,.XBTBON8H,.JPYBON8H,.XBTJPYPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,1094496.23,5669447770,5669447773,3,1557988,59951125095269,59951125122608,27339,14218168724,142.18168724,155798800,1093100,1095890.411,1112200,1086300,1097300,1097300,ZeroMinusTick,0.0038,1095200,1096100,1097000,1095170.299,1096150,1097092.7043,true,3525866,32180578982,FundingRate,0.1095,26.48,1095623.48,FairPrice,1095623.48,0,1095597,2020-09-11T10:04:35.000Z
XBTKRW,XBK,Open,FFWCSX,2017-12-05T12:00:00.000Z,2017-12-05T12:00:00.000Z,,,,KRW,XBT,KRW,XBTKRW=,BMEX,.XBTKRW,10000000,1000000000,1,1000,-100000000000,XBt,,,false,true,0.01,0.005,20000000000,10000000000,false,true,true,-0.00025,0.00075,0,0,.XBTBON8H,.KRWBON8H,.XBTKRWPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,12239753,6214288723,6214288723,0,12758,60486377147936,60486377147936,0,104158177,1.0415817700000003,12758000,12212000,12248897.599200001,12414000,12190000,12265000,12265000,MinusTick,0.0043,12270000,12275500,12281000,12263919.548700001,12273500,12283503.2551,true,4120055,33578448250,FundingRate,0.1095,297,12269547,FairPrice,12269547,0,12269250,2020-09-11T10:04:45.000Z
ETHUSD,ETH,Open,FFWCSX,2018-07-18T12:00:00.000Z,2018-07-18T12:00:00.000Z,,,,,ETH,USD,ETH=,BMEX,.BETH,10000000,1000000,1,0.05,100,XBt,,9705,true,false,0.02,0.007,5000000000,5000000000,false,true,true,-0.00025,0.00075,0,0,.ETHBON8H,.USDBON8H,.ETHUSDPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.004897,0.005489,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,365.81,1342879211,1342879245,34,253918,25391229275695,25391230530635,1254940,9390201735,2623.2551890955237,970140.6206410282,370.2,369.82,377.45,360,369.1,369.1,ZeroMinusTick,-0.003,369.1,369.15,369.2,368.91,369.05,369.2,true,2496971,91551441715,FundingRate,5.362215,0.43,366.65,FairPrice,366.65,0,366.22,2020-09-11T10:04:45.000Z
XRPUSD,XRP,Open,FFWCSX,2020-01-23T12:00:00.000Z,2020-01-23T12:00:00.000Z,,,,,XRP,USD,XRP=,BMEX,.BXRP,100000000,1000,1,0.0001,20000,XBt,,9705,true,false,0.02,0.01,5000000000,5000000000,false,true,true,-0.00025,0.00075,0,0,.XRPBON8H,.USDBON8H,.XRPUSDPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.24435,462491634,462491634,0,509183,2069641235942,2069641235942,0,2486362040,1053658.206707028,257271.4134917582,0.2439,0.2442,0.2486,0.2372,0.242,0.242,PlusTick,-0.0078,0.2421,0.24215,0.2422,0.2418,0.242,0.2422,true,3192158,15427699614,FundingRate,0.1095,0,0.24165,FairPrice,0.24165,,0.24165,2020-09-11T10:04:30.000Z
XBTU20,XBT,Open,FFCCSX,2020-03-11T08:00:00.000Z,2020-07-31T12:00:00.000Z,,,,USD,XBT,USD,XBT=,BMEX,.BXBT30M,10000000,1000000,1,0.5,-100000000,XBt,,,false,true,0.01,0.0035,5000000000,5000000000,false,true,true,-0.00025,0.00075,0.0005,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,10533.59,36106219,36106222,3,1728627,395919829644,395919857679,28035,15956040182,159.56040182000004,1728627,10666.5,10834.2362,12000,10441,10700.5,10631.93,PlusTick,0.0032,10681.5,11340.75,12000,10681.4783,11341,12000.48,false,8706122,82760395732,ImpactMidPrice,0.55,218.56,10519.58,FairPrice,10519.58,,10301.02,2020-09-11T10:04:45.000Z
BCHUSD,BCH,Open,FFWCSX,2020-06-01T04:00:00.000Z,2020-06-01T04:00:00.000Z,,,,,BCH,USD,BCH=,BMEX,.BBCH,100000000,1000000,1,0.05,100,XBt,,9705,true,false,0.04,0.02,5000000000,5000000000,false,true,true,-0.00025,0.00075,0,0,.BCHBON8H,.USDBON8H,.BCHUSDPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,226.35,23155804,23155809,5,227788,610446851245,610446963740,112495,5119515165,2344.6803636726445,526985.7897705396,225.85,224.75,229.6,221.95,224.95,224.95,MinusTick,-0.004,224.6,224.8,225,224.6,224.8,225,true,145122,3259585242,FundingRate,0.1095,0.01,224.61,FairPrice,224.61,,224.6,2020-09-11T10:04:40.000Z
XBTZ20,XBT,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-10-30T12:00:00.000Z,,,,USD,XBT,USD,XBT=,BMEX,.BXBT30M,10000000,1000000,1,0.5,-100000000,XBt,,,false,true,0.01,0.0035,5000000000,5000000000,false,true,true,-0.00025,0.00075,0.0005,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,10899.04,12126278,12126290,12,1239,111817278650,111817386590,107940,10611394,0.10611394000000003,1239,13008,11676.7865,13008,11117.5,11117.5,11117.5,ZeroMinusTick,-0.1453,11117.5,12062.75,13008,10377.7501,51399.5,92421.4418,false,6196638,56878940202,ImpactMidPrice,0.2,593.12,10894.14,FairPrice,10894.14,,10301.02,2020-09-11T10:04:45.000Z
ETHU20,ETH,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,ETH,ETH,XBT,ETHXBT=,BMEX,.BETHXBT30M,100000000,1,1,0.00001,100000000,XBt,1,100000000,false,false,0.02,0.007,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.03586,217909,217909,0,1729,685923446000,685923446000,0,6182047000,1729,61.82047000000001,0.03581,0.03575505,0.03633,0.03524,0.03575,0.03575,MinusTick,-0.0017,0.03582,0.03585,0.03588,0.03581993,0.03585,0.03588008,true,2592,9292320000,ImpactMidPrice,0.21,0.00029,0.03585,FairPrice,0.03585,,0.03556,2020-09-11T10:04:30.000Z
